ID,Type,Category,Stakeholder,Feature / Gap,Description,Current Status,Priority,Effort (Days),Phase,Sprint
W-CRO-01,Wow Feature,Strategic,CRO,Real-time Risk Heatmap,"Geographic India map showing risk concentration by branch/region — color-coded, clickable drill-down to branch-level cases",Not Built,P1,3,Phase 1,Sprint 1
W-CRO-02,Wow Feature,Strategic,CRO,Risk Appetite Dashboard,"CRO sets thresholds; live meter shows current portfolio risk vs. appetite (green/amber/red) with breach alerts",Not Built,P1,2,Phase 1,Sprint 1
W-CRO-03,Wow Feature,Strategic,CRO,Board Report PDF Generator,"One-click branded PDF: risk summary, trend charts, top cases, regulatory status, detection metrics — board-meeting ready",Not Built,P1,2,Phase 1,Sprint 1
W-CRO-04,Wow Feature,Strategic,CRO,What-If Scenario Simulator,"Model impact of business decisions: 'If we onboard 500 high-risk customers, what happens to risk profile?' with projected charts",Not Built,P2,3,Phase 2,Sprint 3
W-CRO-05,Wow Feature,Strategic,CRO,Peer Benchmarking,"Compare bank's fraud/detection rate against RBI industry averages and peer group statistics",Not Built,P3,2,Phase 3,Sprint 5
W-CRO-06,Wow Feature,Strategic,CRO,Executive Drilldown (Full),"Click any KPI → drill to cases → drill to transactions → drill to customer 360 — 3-click depth from 30000ft to ground",Partial — dashboard drilldown exists,P1,1,Phase 1,Sprint 1
W-CO-01,Wow Feature,Compliance,Compliance Officer,RBI Compliance Scorecard,"Checklist of all RBI Master Directions mapped to system features with green/red status — auto-updated as features change",Not Built,P1,1,Phase 1,Sprint 1
W-CO-02,Wow Feature,Compliance,Compliance Officer,Auto-generated SAR Narrative,"AI writes suspicious activity report narrative from transaction patterns; officer reviews and signs — 4hrs → 10min",Built — ai_agent module,P2,0,Done,Done
W-CO-03,Wow Feature,Compliance,Compliance Officer,Filing Deadline Tracker,"Countdown timers for CTR (15 days) and STR (7 days) with auto-escalation when approaching deadline and overdue alerts",Partial — basic deadline data exists,P1,2,Phase 1,Sprint 2
W-CO-04,Wow Feature,Compliance,Compliance Officer,Audit Trail Export,"One-click export of complete audit trail for any customer/case/alert with tamper-proof hash chain — audit-ready in 5 min",Not Built,P1,2,Phase 1,Sprint 2
W-CO-05,Wow Feature,Compliance,Compliance Officer,Regulatory Change Impact Analysis,"When new RBI circular is issued, show which rules/thresholds need updating with impact assessment and action items",Not Built,P3,3,Phase 3,Sprint 5
W-CO-06,Wow Feature,Compliance,Compliance Officer,PEP/Sanctions Auto-Screening,"Real-time screening against OFAC, UN, India MHA lists with match confidence scores and auto-alert generation",Simulated — mock data only,P2,3,Phase 2,Sprint 3
